CID	178	323	702	938	1493	1775	1935	1983	1986	2153	2157	2160	2244	2265	2313	2333	2477	2519	2554	2717	2725	2726	2727	2756	2764	2796	2801	2907	3016	3033	3114	3117	3121	3158	3325	3339	3372	3397	3440	3463	3488	3559	3658	3672	3696	3715	3748	3767	3869	3950	4044	4091	4098	4178	4260	4386	4449	4485	4495	4594	4680	4723	4746	4754	4763	4781	4927	4946	5039	5339	5355	5452	5472	5483	5505	5556	5576	5656	5694	5743	5852	5897	5921	5943	5953	5959	5991	6010	6046	6167	6197	6237	6758	6932	7577	7851	7858	7961	8370	9415	10438	11080	11831	12699	14052	14130	25674	28417	31703	36462	38853	39186	44093	47576	54454	54897	62857	64710	66380	119565	156391	157921	164877	174697	186907	441140	443953	444254	445354	445621	1548887	1549008	2733526	5271566	5280965	5281055	5284373	5284533	5388962	5447130	6604200	6914273	16129778	44567139	46931065	54675776	54677470	54690031	70691408	135398735	135398737
2153	0.14	0.09	0.06	0.3	0.13	0.28	0.26	0.22	0.27	1	0.14	0.12	0.1	0.58	0.24	0.11	0.5	0.91	0.24	0.19	0.28	0.18	0.2	0.6	0.25	0.1	0.17	0.18	0.26	0.18	0.35	0.12	0.11	0.12	0.35	0.09	0.19	0.23	0.2	0.09	0.18	0.15	0.17	0.11	0.19	0.25	0.35	0.33	0.17	0.23	0.21	0.21	0.37	0.12	0.12	0.22	0.27	0.17	0.13	0.38	0.24	0.18	0.15	0.21	0.25	0.26	0.2	0.13	0.23	0.29	0.21	0.18	0.16	0.24	0.2	0.31	0.24	0.12	0.35	0.11	0.18	0.23	0.12	0	0.23	0.19	0.09	0.12	0.15	0.16	0.18	0.12	0.11	0.08	0.14	0.09	0.08	0.07	0.05	0.16	0.12	0.13	0.14	0.16	0.21	0.21	0.17	0.21	0.11	0.1	0.13	0.19	0.23	0.34	0.1	0.46	0.13	0.23	0	0.17	0.09	0.17	0.21	0.13	0.1	0.1	0.14	0.15	0.09	0.13	0.11	0.13	0.11	0.12	0.13	0.34	0.24	0.11	0.24	0.2	0.26	0.26	0.08	0.32	0.26	0.16	0.37	0.39	0.21	0.21	0.27
2157	0.09	0.59	0.07	0.37	0.35	0.42	0.32	0.4	0.11	0.14	1	0.44	0.65	0.12	0.49	0.76	0.23	0.15	0.34	0.36	0.33	0.29	0.3	0.11	0.42	0.49	0.36	0.13	0.36	0.39	0.38	0.12	0.18	0.68	0.11	0.66	0.34	0.32	0.5	0.6	0.56	0.55	0.43	0.47	0.38	0.53	0.33	0.33	0.64	0.13	0.46	0.07	0.26	0.61	0.67	0.46	0.46	0.45	0.43	0.39	0.5	0.52	0.2	0.48	0.43	0.39	0.3	0.64	0.52	0.43	0.59	0.29	0.36	0.15	0.36	0.3	0.19	0.64	0.28	0.38	0.15	0.37	0.11	0	0.46	0.39	0.48	0.35	0.17	0.55	0.29	0.87	0.69	0.56	0.35	0.06	0.11	0.27	0.2	0.39	0.2	0.34	0.35	0.08	0.17	0.49	0.14	0.44	0.61	0.53	0.51	0.55	0.2	0.45	0.39	0.34	0.62	0.27	0	0.14	0.62	0.19	0.37	0.61	0.65	0.64	0.33	0.29	0.28	0.16	0.44	0.43	0.71	0.21	0.38	0.51	0.31	0.34	0.5	0.45	0.43	0.51	0.57	0.39	0.3	0.55	0.36	0.29	0.39	0.53	0.31
2160	0.1	0.43	0.07	0.34	0.33	0.54	0.46	0.38	0.09	0.12	0.44	1	0.38	0.12	0.34	0.36	0.24	0.13	0.56	0.51	0.5	0.45	0.47	0.16	0.38	0.35	0.6	0.15	0.53	0.42	0.47	0.21	0.19	0.65	0.14	0.4	0.46	0.44	0.29	0.4	0.37	0.53	0.57	0.56	0.68	0.32	0.38	0.37	0.44	0.2	0.45	0.13	0.35	0.5	0.5	0.42	0.34	0.44	0.33	0.28	0.39	0.45	0.37	0.36	0.56	0.49	0.5	0.51	0.32	0.3	0.37	0.47	0.53	0.16	0.58	0.42	0.17	0.58	0.37	0.3	0.16	0.56	0.18	0	0.35	0.4	0.48	0.34	0.16	0.44	0.22	0.39	0.36	0.47	0.62	0.12	0.14	0.51	0.36	0.29	0.26	0.6	0.57	0.09	0.19	0.34	0.13	0.36	0.36	0.35	0.42	0.39	0.17	0.31	0.33	0.35	0.54	0.2	0	0.14	0.45	0.14	0.65	0.53	0.36	0.33	0.23	0.28	0.42	0.13	0.52	0.78	0.58	0.16	0.29	0.31	0.31	0.32	0.5	0.26	0.25	0.31	0.31	0.32	0.26	0.44	0.34	0.26	0.44	0.29	0.49
2244	0.08	0.81	0.09	0.43	0.43	0.41	0.28	0.48	0.08	0.1	0.65	0.38	1	0.06	0.44	0.68	0.19	0.11	0.34	0.36	0.27	0.24	0.31	0.07	0.44	0.63	0.3	0.08	0.31	0.44	0.33	0.06	0.29	0.62	0.09	0.7	0.29	0.35	0.5	0.77	0.55	0.53	0.35	0.63	0.33	0.48	0.33	0.32	0.59	0.11	0.54	0.04	0.21	0.64	0.65	0.55	0.4	0.47	0.46	0.33	0.4	0.54	0.12	0.52	0.44	0.36	0.26	0.57	0.48	0.47	0.6	0.25	0.3	0.14	0.37	0.24	0.15	0.6	0.3	0.36	0.19	0.34	0.07	0	0.4	0.41	0.51	0.36	0.1	0.53	0.27	0.73	0.65	0.68	0.35	0.03	0.16	0.34	0.25	0.36	0.25	0.32	0.33	0.06	0.12	0.55	0.17	0.4	0.59	0.57	0.62	0.5	0.19	0.38	0.45	0.27	0.57	0.22	0	0.17	0.7	0.19	0.33	0.59	0.7	0.62	0.27	0.28	0.33	0.18	0.51	0.34	0.6	0.29	0.4	0.47	0.29	0.36	0.48	0.46	0.43	0.49	0.65	0.3	0.26	0.53	0.37	0.28	0.33	0.46	0.27
2265	0.07	0.06	0.04	0.23	0.17	0.18	0.29	0.17	0.2	0.58	0.12	0.12	0.06	1	0.25	0.09	0.39	0.55	0.2	0.17	0.27	0.24	0.18	0.58	0.18	0.07	0.17	0.13	0.2	0.15	0.28	0.11	0.06	0.1	0.42	0.06	0.23	0.22	0.16	0.06	0.15	0.11	0.15	0.07	0.18	0.23	0.27	0.25	0.12	0.17	0.15	0.16	0.43	0.1	0.09	0.15	0.23	0.17	0.17	0.43	0.24	0.12	0.13	0.16	0.15	0.19	0.26	0.12	0.23	0.28	0.17	0.25	0.21	0.14	0.18	0.32	0.12	0.1	0.38	0.06	0.12	0.18	0.11	0	0.24	0.18	0.07	0.07	0.12	0.11	0.1	0.1	0.08	0.07	0.14	0.07	0.05	0.06	0.05	0.12	0.07	0.15	0.18	0.12	0.16	0.15	0.15	0.19	0.08	0.08	0.09	0.2	0.14	0.3	0.06	0.4	0.11	0.18	0	0.15	0.07	0.09	0.21	0.1	0.08	0.07	0.09	0.12	0.06	0.1	0.13	0.13	0.1	0.07	0.09	0.31	0.14	0.07	0.15	0.18	0.23	0.23	0.06	0.36	0.17	0.1	0.36	0.38	0.19	0.17	0.27
2313	0.07	0.47	0.06	0.51	0.42	0.39	0.56	0.48	0.12	0.24	0.49	0.34	0.44	0.25	1	0.43	0.34	0.25	0.47	0.35	0.48	0.37	0.27	0.21	0.45	0.45	0.45	0.12	0.5	0.49	0.5	0.09	0.16	0.5	0.2	0.46	0.44	0.43	0.52	0.46	0.43	0.4	0.43	0.36	0.48	0.63	0.45	0.45	0.44	0.15	0.51	0.07	0.39	0.46	0.48	0.53	0.56	0.46	0.47	0.56	0.62	0.46	0.17	0.55	0.34	0.49	0.39	0.53	0.41	0.52	0.46	0.38	0.37	0.14	0.32	0.48	0.17	0.51	0.48	0.23	0.14	0.45	0.1	0	0.61	0.45	0.36	0.22	0.14	0.44	0.19	0.46	0.41	0.42	0.41	0.05	0.11	0.23	0.17	0.36	0.14	0.43	0.4	0.07	0.15	0.54	0.13	0.43	0.41	0.41	0.42	0.56	0.19	0.54	0.26	0.47	0.5	0.23	0	0.14	0.45	0.15	0.49	0.47	0.43	0.4	0.23	0.3	0.23	0.18	0.35	0.38	0.5	0.17	0.31	0.57	0.25	0.23	0.42	0.46	0.46	0.52	0.42	0.5	0.3	0.4	0.42	0.43	0.48	0.52	0.45
2333	0.06	0.58	0.07	0.34	0.35	0.39	0.28	0.39	0.08	0.11	0.76	0.36	0.68	0.09	0.43	1	0.18	0.12	0.3	0.3	0.27	0.22	0.25	0.07	0.38	0.47	0.29	0.07	0.3	0.37	0.32	0.05	0.19	0.56	0.09	0.62	0.27	0.29	0.44	0.59	0.49	0.5	0.33	0.48	0.31	0.49	0.28	0.27	0.57	0.08	0.45	0.03	0.2	0.51	0.53	0.45	0.36	0.4	0.39	0.34	0.42	0.45	0.13	0.42	0.39	0.34	0.24	0.53	0.43	0.41	0.5	0.23	0.29	0.09	0.3	0.26	0.12	0.56	0.26	0.37	0.13	0.34	0.05	0	0.4	0.34	0.51	0.36	0.08	0.47	0.25	0.87	0.66	0.58	0.32	0.04	0.12	0.34	0.2	0.3	0.2	0.31	0.32	0.04	0.1	0.45	0.11	0.41	0.57	0.54	0.51	0.44	0.14	0.36	0.38	0.29	0.52	0.2	0	0.12	0.63	0.15	0.31	0.51	0.63	0.61	0.25	0.23	0.28	0.12	0.46	0.34	0.56	0.19	0.34	0.43	0.23	0.35	0.4	0.41	0.38	0.46	0.58	0.33	0.23	0.51	0.34	0.27	0.33	0.48	0.25
2477	0.11	0.17	0.05	0.44	0.2	0.36	0.4	0.27	0.19	0.5	0.23	0.24	0.19	0.39	0.34	0.18	1	0.52	0.35	0.31	0.45	0.28	0.23	0.41	0.35	0.15	0.3	0.16	0.39	0.29	0.55	0.14	0.18	0.21	0.31	0.19	0.33	0.31	0.25	0.2	0.27	0.29	0.3	0.23	0.32	0.34	0.46	0.46	0.26	0.23	0.29	0.15	0.49	0.18	0.2	0.3	0.36	0.29	0.18	0.41	0.38	0.29	0.23	0.26	0.37	0.37	0.3	0.2	0.27	0.43	0.28	0.3	0.25	0.18	0.28	0.42	0.2	0.23	0.45	0.22	0.15	0.32	0.12	0	0.39	0.27	0.19	0.24	0.16	0.22	0.29	0.19	0.19	0.17	0.25	0.07	0.11	0.13	0.07	0.25	0.14	0.24	0.24	0.12	0.17	0.26	0.13	0.34	0.19	0.18	0.21	0.32	0.24	0.44	0.24	0.57	0.21	0.28	0	0.15	0.19	0.17	0.35	0.24	0.18	0.17	0.23	0.22	0.2	0.13	0.22	0.27	0.22	0.13	0.23	0.48	0.32	0.23	0.33	0.26	0.3	0.33	0.17	0.38	0.32	0.25	0.4	0.43	0.34	0.27	0.39
2519	0.13	0.1	0.07	0.31	0.14	0.28	0.26	0.22	0.25	0.91	0.15	0.13	0.11	0.55	0.25	0.12	0.52	1	0.24	0.21	0.3	0.19	0.19	0.54	0.23	0.11	0.19	0.16	0.28	0.18	0.35	0.13	0.12	0.13	0.36	0.1	0.2	0.23	0.19	0.1	0.17	0.16	0.18	0.12	0.2	0.27	0.34	0.32	0.16	0.21	0.21	0.19	0.39	0.11	0.13	0.21	0.28	0.17	0.13	0.35	0.25	0.18	0.14	0.21	0.24	0.27	0.21	0.12	0.22	0.29	0.2	0.2	0.17	0.22	0.19	0.34	0.25	0.13	0.35	0.12	0.16	0.22	0.13	0	0.25	0.18	0.09	0.13	0.16	0.15	0.18	0.12	0.12	0.09	0.14	0.06	0.08	0.07	0.06	0.17	0.14	0.14	0.15	0.15	0.19	0.2	0.16	0.22	0.11	0.1	0.13	0.2	0.25	0.36	0.11	0.49	0.12	0.22	0	0.16	0.1	0.15	0.22	0.14	0.11	0.11	0.15	0.14	0.1	0.12	0.12	0.14	0.12	0.14	0.13	0.34	0.23	0.13	0.22	0.19	0.26	0.25	0.09	0.3	0.25	0.16	0.37	0.39	0.22	0.2	0.27
2554	0.13	0.39	0.06	0.45	0.45	0.64	0.65	0.6	0.15	0.24	0.34	0.56	0.34	0.2	0.47	0.3	0.35	0.24	1	0.52	0.55	0.55	0.46	0.21	0.52	0.32	0.71	0.15	0.68	0.64	0.58	0.13	0.16	0.44	0.23	0.33	0.59	0.71	0.42	0.35	0.42	0.42	0.53	0.43	0.79	0.43	0.53	0.53	0.44	0.26	0.62	0.12	0.46	0.41	0.37	0.65	0.48	0.55	0.45	0.4	0.43	0.48	0.26	0.56	0.58	0.69	0.6	0.4	0.37	0.44	0.41	0.57	0.49	0.16	0.56	0.55	0.16	0.44	0.56	0.22	0.15	0.73	0.13	0	0.43	0.52	0.35	0.24	0.13	0.38	0.24	0.32	0.29	0.36	0.74	0.09	0.13	0.4	0.29	0.25	0.22	0.67	0.61	0.13	0.17	0.52	0.13	0.34	0.3	0.28	0.41	0.5	0.19	0.42	0.25	0.48	0.44	0.2	0	0.14	0.36	0.15	0.71	0.4	0.3	0.27	0.17	0.26	0.29	0.15	0.39	0.57	0.42	0.15	0.25	0.43	0.31	0.23	0.47	0.36	0.36	0.42	0.28	0.43	0.3	0.38	0.41	0.41	0.52	0.35	0.64
