	CHEMBL16081	CHEMBL6466	CHEMBL545	CHEMBL573	CHEMBL273386	CHEMBL16	CHEMBL95	CHEMBL112	CHEMBL20	CHEMBL190	CHEMBL633	CHEMBL629	CHEMBL25	CHEMBL1542	CHEMBL1089221	CHEMBL388590	CHEMBL49	CHEMBL113	CHEMBL108	CHEMBL1200714	CHEMBL505	CHEMBL71	CHEMBL498	CHEMBL30	CHEMBL8	CHEMBL565	CHEMBL415	CHEMBL88	CHEMBL12	CHEMBL139	CHEMBL517	CHEMBL964	CHEMBL109	CHEMBL1628227	CHEMBL902	CHEMBL672	CHEMBL726	CHEMBL806	CHEMBL35	CHEMBL457	CHEMBL472	CHEMBL54	CHEMBL896	CHEMBL521	CHEMBL11	CHEMBL6	CHEMBL92401	CHEMBL64	CHEMBL429	CHEMBL514	CHEMBL686	CHEMBL1431	CHEMBL1411979	4CHEMBL16081	CHEMBL159226	CHEMBL23832	CHEMBL623	CHEMBL193	CHEMBL56367	CHEMBL1503	CHEMBL19224	CHEMBL1177	CHEMBL75880	CHEMBL16073	CHEMBL40	CHEMBL101	CHEMBL643	CHEMBL27	CHEMBL1790041	CHEMBL421	CHEMBL26	CHEMBL479	CHEMBL833	CHEMBL1314	CHEMBL782	CHEMBL646	CHEMBL695	CHEMBL637	CHEMBL295416	CHEMBL384467	CHEMBL1430	CHEMBLCHEMBL51769	CHEMBL164290	CHEMBL44814	CHEMBLCHEMBL6338	CHEMBL130	CHEMBL691	CHEMBL1395	CHEMBL165908	CHEMBL107	CHEMBL123292	CHEMBL232201	CHEMBL429023	CHEMBL502074	CHEMBL85728	CHEMBL1697693	CHEMBL234926	CHEMBL16068	CHEMBL228514	CHEMBL521035	CHEMBL2766015	CHEMBL1381098	CHEMBL351487	CHEMBL288958	CHEMBL44884	CHEMBL1697856	CHEMBL203187	CHEMBL1479	CHEMBL5CHEMBL457	CHEMBL44657	CHEMBL459	CHEMBL23	CHEMBL1560	CHEMBL295698	CHEMBL1064	CHEMBL54349	CHEMBL1201082	CHEMBL1201097	CHEMBL1201096	CHEMBL1609891	CHEMBL154	CHEMBL1201093	CHEMBL1201088	CHEMBL1201089	CHEMBL1697694	CHEMBL562	CHEMBL1200688	CHEMBL1566	CHEMBL986	CHEMBL606759	CHEMBL15770	CHEMBL822	CHEMBL83	CHEMBL2037000	CHEMBL267345	CHEMBL843	CHEMBL160	CHEMBL1697830	CHEMBL578	CHEMBL869	CHEMBL572	CHEMBL1201288	CHEMBL506247	CHEMBL502682	CHEMBL505513	CHEMBL1440	CHEMBL599	CHEMBL1CHEMBL29541687	CHEMBL2105617	CHEMBL374478	CHEMBL42
CHEMBL572	0.89	0.59	0.96	0.56	0.54	0.56	0.69	0.53	0.79	0.74	0.57	0.75	0.57	0.77	0.54	0.62	0.7	0.74	0.64	0.69	0.69	0.72	0.68	0.8	0.63	0.62	0.71	0.88	0.62	0.64	0.62	0.92	0.89	0.61	0.81	0.61	0.71	0.58	0.53	0.62	0.54	0.64	0.71	0.72	0.69	0.56	0.55	0.55	0.58	0.77	0.6	0.91	0.65	0.6	0.61	0.58	0.46	0.56	0.49	0.58	0.59	0.58	0.88	0.46	0.62	0.6	0.69	0.62	0.35	0.56	0.49	0.72	0.74	0.83	0.67	0.66	0.82	0.6	0.68	0.82	0.87	0.65	0.89	1	0.62	0.55	0.72	0.82	0.86	0.58	0.82	0.6	0.63	0.66	0.67	0.92	0.91	0.78	0.84	0.74	0.84	0.7	0.65	0.85	0.85	0.48	0.86	0.59	0.64	0.69	0.63	0.55	0.8	0.54	0.81	0.63	0.58	0.77	1	0.86	0.65	0.82	0.68	0.66	0.63	0.65	0.86	0.77	0.85	0.85	0.75	0.73	0.61	0.82	0.76	0.49	0.71	0.82	0.61	0.14	0	0.18	0.66	0.62	0.69	0.62	0.6	0.56	0.67	0.56	0.66
CHEMBL1201288	0.91	0.54	0.96	0.55	0.55	0.48	0.62	0.53	0.82	0.74	0.49	0.69	0.51	0.77	0.48	0.54	0.67	0.75	0.58	0.65	0.63	0.7	0.68	0.81	0.51	0.62	0.64	0.89	0.55	0.56	0.55	0.92	0.86	0.53	0.81	0.53	0.65	0.53	0.44	0.56	0.47	0.57	0.64	0.63	0.61	0.46	0.55	0.56	0.49	0.77	0.5	0.92	0.66	0.53	0.55	0.5	0.45	0.43	0.46	0.53	0.51	0.52	0.83	0.47	0.56	0.56	0.67	0.54	0.4	0.51	0.43	0.69	0.69	0.84	0.63	0.59	0.84	0.53	0.63	0.75	0.86	0.56	0.9	1	0.54	0.45	0.66	0.75	0.87	0.5	0.74	0.51	0.55	0.59	0.57	0.94	0.92	0.78	0.83	0.72	0.84	0.63	0.56	0.87	0.86	0.48	0.87	0.52	0.56	0.61	0.53	0.47	0.79	0.49	0.74	0.58	0.52	0.71	1	0.86	0.56	0.82	0.58	0.6	0.55	0.58	0.79	0.76	0.8	0.84	0.67	0.67	0.54	0.84	0.71	0.43	0.7	0.75	0.51	0.3	0.18	0	0.59	0.54	0.66	0.55	0.55	0.57	0.59	0.46	0.6
CHEMBL506247	0.95	0.43	0.93	0.66	0.66	0.67	0.75	0.64	0.94	0.92	0.43	0.69	0.35	0.94	0.58	0.42	0.83	0.91	0.72	0.72	0.76	0.78	0.77	0.94	0.63	0.51	0.74	0.92	0.74	0.63	0.71	0.95	0.79	0.49	0.92	0.36	0.71	0.73	0.57	0.38	0.55	0.54	0.65	0.55	0.72	0.55	0.74	0.74	0.48	0.91	0.57	0.98	0.82	0.53	0.46	0.56	0.63	0.6	0.63	0.7	0.56	0.57	0.87	0.6	0.66	0.7	0.77	0.47	0.62	0.6	0.56	0.77	0.75	0.9	0.72	0.79	0.9	0.49	0.75	0.64	0.86	0.72	0.96	1	0.58	0.65	0.52	0.69	0.91	0.46	0.76	0.38	0.28	0.46	0.71	0.98	0.88	0.75	0.81	0.65	0.82	0.73	0.73	0.97	0.89	0.57	0.88	0.64	0.3	0.22	0.44	0.54	0.86	0.61	0.59	0.75	0.49	0.75	1	0.87	0.4	0.85	0.72	0.45	0.34	0.41	0.63	0.62	0.74	0.77	0.58	0.71	0.46	0.79	0.53	0.57	0.75	0.7	0.6	0.64	0.66	0.59	0	0.7	0.67	0.49	0.7	0.76	0.67	0.47	0.75
CHEMBL502682	0.91	0.75	0.94	0.53	0.68	0.56	0.48	0.59	0.85	0.68	0.61	0.68	0.7	0.64	0.5	0.67	0.62	0.7	0.57	0.6	0.52	0.6	0.68	0.69	0.5	0.76	0.58	0.87	0.51	0.54	0.42	0.9	0.85	0.69	0.7	0.69	0.52	0.57	0.54	0.71	0.59	0.62	0.59	0.66	0.56	0.43	0.51	0.55	0.53	0.83	0.54	0.92	0.53	0.68	0.69	0.54	0.6	0.55	0.67	0.45	0.52	0.62	0.8	0.61	0.62	0.55	0.57	0.61	0.59	0.51	0.55	0.58	0.61	0.79	0.63	0.55	0.84	0.65	0.48	0.74	0.82	0.55	0.92	1	0.49	0.54	0.72	0.76	0.89	0.64	0.7	0.66	0.68	0.72	0.63	0.94	0.91	0.8	0.85	0.65	0.87	0.62	0.65	0.92	0.79	0.56	0.8	0.61	0.63	0.67	0.63	0.49	0.72	0.55	0.72	0.47	0.66	0.58	1	0.79	0.69	0.83	0.56	0.59	0.7	0.7	0.71	0.7	0.79	0.8	0.62	0.64	0.68	0.89	0.66	0.46	0.57	0.76	0.48	0.66	0.62	0.54	0.7	0	0.63	0.57	0.53	0.5	0.5	0.52	0.55
CHEMBL505513	0.85	0.76	0.89	0.72	0.75	0.66	0.77	0.68	0.8	0.74	0.7	0.74	0.74	0.83	0.7	0.77	0.68	0.75	0.7	0.71	0.75	0.76	0.72	0.8	0.61	0.77	0.73	0.79	0.71	0.7	0.7	0.85	0.78	0.71	0.82	0.74	0.69	0.7	0.67	0.74	0.65	0.67	0.62	0.73	0.71	0.7	0.7	0.74	0.58	0.7	0.67	0.87	0.77	0.7	0.69	0.67	0.65	0.63	0.73	0.73	0.71	0.66	0.69	0.68	0.65	0.68	0.74	0.62	0.64	0.7	0.65	0.74	0.77	0.72	0.68	0.77	0.71	0.67	0.73	0.64	0.76	0.7	0.86	1	0.67	0.58	0.76	0.68	0.78	0.6	0.6	0.76	0.7	0.76	0.75	0.9	0.85	0.86	0.91	0.49	0.77	0.79	0.78	0.85	0.68	0.65	0.77	0.7	0.6	0.66	0.68	0.67	0.65	0.63	0.6	0.72	0.67	0.43	1	0.76	0.76	0.76	0.73	0.6	0.69	0.75	0.48	0.32	0.72	0.51	0.75	0.74	0.69	0.77	0.42	0.63	0.46	0.7	0.51	0.73	0.69	0.66	0.67	0.63	0	0.59	0.69	0.7	0.61	0.61	0.72
CHEMBL1440	0.89	0.54	0.94	0.6	0.59	0.53	0.67	0.52	0.89	0.84	0.45	0.56	0.47	0.9	0.6	0.49	0.75	0.84	0.62	0.62	0.66	0.69	0.68	0.88	0.5	0.6	0.63	0.87	0.61	0.56	0.57	0.89	0.8	0.46	0.89	0.5	0.64	0.62	0.56	0.49	0.47	0.43	0.57	0.52	0.61	0.53	0.64	0.66	0.32	0.82	0.49	0.92	0.76	0.51	0.47	0.51	0.62	0.51	0.61	0.65	0.52	0.51	0.76	0.57	0.53	0.58	0.66	0.43	0.58	0.53	0.47	0.67	0.68	0.82	0.61	0.7	0.82	0.41	0.68	0.56	0.81	0.59	0.9	1	0.54	0.53	0.44	0.6	0.89	0.37	0.64	0.46	0.43	0.48	0.63	0.93	0.89	0.75	0.81	0.56	0.81	0.64	0.65	0.9	0.82	0.53	0.83	0.52	0.32	0.44	0.38	0.52	0.74	0.62	0.61	0.67	0.49	0.62	1	0.81	0.44	0.8	0.61	0.4	0.46	0.46	0.62	0.61	0.73	0.75	0.56	0.56	0.5	0.84	0.56	0.57	0.6	0.6	0.46	0.62	0.62	0.55	0.49	0.57	0.59	0	0.59	0.67	0.53	0.44	0.66
CHEMBL599	0.9	0.63	0.94	0.52	0.66	0.56	0.6	0.57	0.73	0.63	0.64	0.66	0.63	0.64	0.58	0.66	0.6	0.63	0.59	0.6	0.56	0.64	0.58	0.63	0.6	0.7	0.66	0.89	0.59	0.61	0.52	0.88	0.85	0.62	0.61	0.68	0.59	0.62	0.54	0.65	0.55	0.6	0.66	0.64	0.63	0.58	0.53	0.55	0.58	0.82	0.56	0.88	0.46	0.63	0.65	0.55	0.6	0.63	0.63	0.45	0.54	0.58	0.84	0.61	0.61	0.62	0.61	0.61	0.6	0.41	0.51	0.63	0.62	0.82	0.53	0.57	0.85	0.61	0.49	0.77	0.82	0.61	0.91	1	0.54	0.57	0.65	0.76	0.9	0.63	0.78	0.65	0.69	0.64	0.65	0.94	0.9	0.77	0.83	0.74	0.83	0.65	0.68	0.9	0.82	0.61	0.83	0.6	0.67	0.69	0.61	0.55	0.79	0.5	0.75	0.52	0.62	0.73	1	0.8	0.65	0.86	0.62	0.61	0.67	0.71	0.81	0.73	0.78	0.85	0.59	0.68	0.63	0.86	0.74	0.41	0.71	0.76	0.57	0.65	0.6	0.55	0.7	0.53	0.69	0.59	0	0.28	0.61	0.63	0.6
CHEMBL1CHEMBL29541687	0.9	0.73	0.95	0.46	0.64	0.61	0.56	0.52	0.77	0.61	0.71	0.74	0.72	0.62	0.57	0.73	0.57	0.61	0.59	0.55	0.47	0.53	0.55	0.63	0.61	0.69	0.6	0.86	0.52	0.56	0.49	0.89	0.89	0.71	0.64	0.71	0.58	0.62	0.51	0.74	0.53	0.61	0.63	0.74	0.64	0.51	0.47	0.49	0.63	0.81	0.57	0.89	0.31	0.71	0.73	0.57	0.49	0.65	0.61	0.42	0.53	0.66	0.86	0.57	0.66	0.61	0.55	0.69	0.57	0.38	0.56	0.58	0.55	0.81	0.6	0.51	0.87	0.68	0.42	0.83	0.85	0.6	0.91	0.99	0.53	0.57	0.73	0.83	0.89	0.68	0.81	0.72	0.75	0.73	0.67	0.94	0.9	0.8	0.8	0.78	0.86	0.68	0.7	0.91	0.82	0.57	0.82	0.65	0.72	0.75	0.67	0.57	0.79	0.46	0.82	0.4	0.68	0.75	1	0.79	0.74	0.85	0.63	0.7	0.75	0.73	0.85	0.75	0.84	0.85	0.67	0.72	0.72	0.87	0.78	0.38	0.73	0.8	0.64	0.61	0.56	0.57	0.76	0.5	0.7	0.67	0.28	0	0.63	0.64	0.51
CHEMBL2105617	0.93	0.66	0.91	0.57	0.59	0.56	0.52	0.52	0.9	0.79	0.61	0.56	0.67	0.81	0.52	0.67	0.66	0.78	0.48	0.59	0.53	0.54	0.7	0.82	0.45	0.71	0.47	0.85	0.48	0.49	0.51	0.88	0.83	0.55	0.84	0.67	0.42	0.52	0.57	0.62	0.62	0.54	0.48	0.58	0.43	0.53	0.59	0.61	0.52	0.84	0.48	0.93	0.63	0.6	0.59	0.49	0.55	0.5	0.62	0.57	0.5	0.59	0.75	0.55	0.58	0.5	0.48	0.55	0.66	0.6	0.58	0.49	0.58	0.87	0.63	0.55	0.85	0.5	0.58	0.65	0.85	0.48	0.89	1	0.39	0.48	0.55	0.66	0.85	0.58	0.71	0.65	0.61	0.59	0.54	0.94	0.88	0.74	0.81	0.64	0.84	0.54	0.53	0.93	0.78	0.52	0.87	0.55	0.61	0.59	0.6	0.52	0.77	0.56	0.64	0.58	0.58	0.66	1	0.85	0.63	0.85	0.47	0.56	0.62	0.67	0.7	0.62	0.7	0.76	0.61	0.53	0.58	0.87	0.65	0.59	0.66	0.66	0.5	0.69	0.67	0.59	0.67	0.5	0.61	0.53	0.61	0.63	0	0.53	0.5
CHEMBL374478	0.93	0.62	0.95	0.59	0.65	0.64	0.65	0.59	0.89	0.79	0.47	0.71	0.54	0.83	0.48	0.52	0.73	0.8	0.65	0.7	0.66	0.7	0.77	0.85	0.5	0.66	0.66	0.89	0.61	0.59	0.6	0.92	0.85	0.57	0.88	0.54	0.62	0.64	0.5	0.56	0.53	0.59	0.64	0.66	0.64	0.45	0.63	0.64	0.43	0.86	0.5	0.94	0.72	0.6	0.53	0.53	0.51	0.55	0.59	0.56	0.5	0.6	0.82	0.56	0.67	0.62	0.68	0.5	0.59	0.49	0.5	0.7	0.73	0.85	0.73	0.65	0.84	0.56	0.64	0.66	0.86	0.6	0.92	1	0.47	0.57	0.62	0.72	0.88	0.48	0.71	0.5	0.43	0.6	0.69	0.96	0.91	0.84	0.87	0.64	0.87	0.67	0.68	0.93	0.84	0.51	0.87	0.57	0.37	0.45	0.58	0.47	0.8	0.51	0.67	0.63	0.57	0.68	1	0.86	0.52	0.84	0.63	0.54	0.47	0.51	0.66	0.66	0.8	0.79	0.68	0.66	0.57	0.85	0.6	0.47	0.67	0.72	0.57	0.58	0.56	0.46	0.47	0.52	0.61	0.44	0.63	0.64	0.53	0	0.63
CHEMBL42	0.92	0.71	0.96	0.57	0.65	0.54	0.38	0.55	0.87	0.73	0.69	0.51	0.73	0.73	0.55	0.75	0.61	0.73	0.36	0.5	0.34	0.36	0.57	0.72	0.5	0.69	0.24	0.83	0.26	0.42	0.43	0.86	0.88	0.62	0.78	0.67	0.45	0.46	0.57	0.72	0.58	0.54	0.42	0.67	0.31	0.55	0.5	0.53	0.61	0.78	0.5	0.84	0.49	0.64	0.68	0.49	0.42	0.54	0.63	0.54	0.55	0.62	0.71	0.57	0.56	0.48	0.42	0.63	0.67	0.55	0.63	0.45	0.48	0.87	0.57	0.32	0.89	0.61	0.4	0.81	0.88	0.45	0.88	0.99	0.55	0.55	0.7	0.8	0.88	0.66	0.8	0.74	0.74	0.71	0.43	0.91	0.92	0.7	0.71	0.77	0.85	0.47	0.53	0.92	0.81	0.59	0.89	0.67	0.71	0.75	0.67	0.56	0.86	0.51	0.79	0.42	0.59	0.79	1	0.88	0.72	0.88	0.34	0.65	0.75	0.73	0.84	0.74	0.77	0.87	0.68	0.49	0.62	0.9	0.77	0.55	0.7	0.77	0.58	0.68	0.66	0.6	0.75	0.55	0.72	0.66	0.6	0.51	0.5	0.63	0
