chembl_id	inchi_key	cid
CHEMBL23	HSUGRBWQSSZJOP-RTWAWAEBSA-N	39186
CHEMBL232201	CZCHIEJNWPNBDE-UHFFFAOYSA-N	6237
CHEMBL234926	XXROGKLTLUQVRX-UHFFFAOYSA-N	7858
CHEMBL23832	ZWJINEZUASEZBH-UHFFFAOYSA-N	4386
CHEMBL25	BSYNRYMUTXBXSQ-UHFFFAOYSA-N	2244
CHEMBL26	BGRJTUBHPOOWDU-UHFFFAOYSA-N	5355
CHEMBL267345	APKFDSVGJQXUKY-INPOYWNPSA-N	5280965
CHEMBL27	AQHHHDLHHXJYJD-UHFFFAOYSA-N	4946
CHEMBL273386	UFBJCMHMOXMLKC-UHFFFAOYSA-N	1493
CHEMBL2766015	MTZWHHIREPJPTG-UHFFFAOYSA-N	10438
CHEMBL288958	ZRKWMRDKSOPRRS-UHFFFAOYSA-N	12699
CHEMBL295416	SZRPDCCEHVWOJX-UHFFFAOYSA-N	5694
CHEMBL295698	XMAYWYJOQHXEEK-ZEQKJWHPSA-N	47576
CHEMBL30	AQIXAKUUQRKLND-UHFFFAOYSA-N	2756
CHEMBL311469	CZIHNRWJTSTCEX-UHFFFAOYSA-N	5897
CHEMBL35	ZZUFCTLCJUWOSV-UHFFFAOYSA-N	3440
CHEMBL351487	XFOHWECQTFIEIX-UHFFFAOYSA-N	11831
CHEMBL374478	JQXXHWHPUNPDRT-WLSIYKJHSA-N	135398735
CHEMBL384467	UREBDLICKHMUKA-CXSFZGCWSA-N	5743
CHEMBL38737	YUKQRDCYNOVPGJ-UHFFFAOYSA-N	6117
CHEMBL388590	WHQCHUCQKNIQEC-UHFFFAOYSA-N	2333
CHEMBL40	DDBREPKUVSBGFI-UHFFFAOYSA-N	4763
CHEMBL415	GDLIGKIOYRNHDA-UHFFFAOYSA-N	2801
CHEMBL42	QZUDBNBUXVUHMW-UHFFFAOYSA-N	135398737
CHEMBL421	NCEXYHBECQHGNR-QZQOTICOSA-N	5339
CHEMBL429	SGUAFYQXFOLMHL-UHFFFAOYSA-N	3869
CHEMBL429023	JUVIOZPCNVVQFO-HBGVWJBISA-N	6758
CHEMBL44657	VJJPUSNTGOMMGY-MRVIYFEKSA-N	36462
CHEMBL44814	VZGDMQKNWNREIO-UHFFFAOYSA-N	5943
CHEMBL44884	AEUTYOVWOVBAKS-UWVGGRQHSA-N	14052
CHEMBL457	HEMJJKBWTPKOJG-UHFFFAOYSA-N	3463
CHEMBL459	CJCSPKMFHVPWAR-JTQLQIEISA-N	38853
CHEMBL472	ZNNLBTZKUZBEKO-UHFFFAOYSA-N	3488
CHEMBL479	KLBQZWRITKRQQV-UHFFFAOYSA-N	5452
CHEMBL49	QWCRAEMEVRGPNT-UHFFFAOYSA-N	2477
CHEMBL498	RKWGIWYCVPQPMF-UHFFFAOYSA-N	2727
CHEMBL502074	IMOYOUMVYICGCA-UHFFFAOYSA-N	6932
CHEMBL502682	MWJMKONRVQLRKE-UGZLBJHLSA-N	44567139
CHEMBL505	SOYKEARSMXGVTM-UHFFFAOYSA-N	2725
CHEMBL505513	VYEWZWBILJHHCU-OMQUDAQFSA-N	46931065
CHEMBL506247	LRBQNJMCXXYXIU-PPKXGCFTSA-N	16129778
CHEMBL514	GQYIWUVLTXOXAJ-UHFFFAOYSA-N	3950
CHEMBL517	UVTNFZQICZKOEM-UHFFFAOYSA-N	3114
CHEMBL521	HEFNNWSXXWATRW-UHFFFAOYSA-N	3672
CHEMBL521035	QVCMHGGNRFRMAD-XFGHUUIASA-N	9415
CHEMBL53463	AOJJSUZBOXZQNB-TZSSRYMLSA-N	31703
CHEMBL54	LNEPOXFFQSENCJ-UHFFFAOYSA-N	3559
CHEMBL54349	JRTIDHTUMYMPRU-UHFFFAOYSA-N	54897
CHEMBL545	LFQSCWFLJHTTHZ-UHFFFAOYSA-N	702
CHEMBL558	VLPIATFUUWWMKC-UHFFFAOYSA-N	4178
CHEMBL562	DDUHZTYCFQRHIY-RBHXEPJQSA-N	441140
