CID,178,323,702,938,1493,1775,1935,1983,1986,2153,2157,2160,2244,2265,2313,2333,2477,2519,2554,2717,2725,2726,2727,2756,2764,2796,2801,2907,3016,3033,3114,3117,3121,3158,3325,3339,3372,3397,3440,3463,3488,3559,3658,3672,3696,3715,3748,3767,3869,3950,4044,4091,4098,4178,4260,4386,4449,4485,4495,4594,4680,4723,4746,4754,4763,4781,4927,4946,5039,5339,5355,5452,5472,5483,5505,5556,5576,5656,5694,5743,5852,5897,5921,5943,5953,5959,5991,6010,6046,6167,6197,6237,6758,6932,7577,7851,7858,7961,8370,9415,10438,11080,11831,12699,14052,14130,25674,28417,31703,36462,38853,39186,44093,47576,54454,54897,62857,64710,66380,119565,156391,157921,164877,174697,186907,441140,443953,444254,445354,445621,1548887,1549008,2733526,5271566,5280965,5281055,5284373,5284533,5388962,5447130,6604200,6914273,16129778,44567139,46931065,54675776,54677470,54690031,70691408,135398735,135398737
2717,14,38,7,40,33,53,41,44,20,19,36,51,36,17,35,30,31,21,52,100,53,56,61,18,41,41,58,20,60,51,47,17,19,42,20,41,50,51,44,36,53,56,63,44,51,40,44,44,43,24,43,9,41,39,40,44,43,42,37,37,36,45,25,42,55,51,50,38,41,37,50,49,70,26,60,42,22,45,49,23,20,51,14,1,34,47,34,25,17,39,27,32,30,36,47,8,12,35,34,29,23,46,43,12,17,40,23,32,30,28,40,48,29,41,27,47,42,30,0,26,35,19,49,42,31,33,21,27,28,15,48,54,41,17,27,41,34,29,49,30,31,35,28,40,29,38,40,45,41,30,50
2725,6,29,4,58,34,43,70,41,8,28,33,50,27,27,48,27,45,30,55,53,100,58,39,30,44,31,71,15,68,52,78,14,12,39,24,35,50,48,40,28,39,48,58,36,64,54,64,63,37,18,45,10,60,34,35,45,48,44,33,50,61,35,27,39,42,51,53,35,31,49,34,51,53,11,39,63,11,42,59,20,10,52,12,1,60,42,32,22,13,33,19,28,27,32,54,7,8,30,29,24,15,52,48,6,14,38,9,41,28,26,32,41,15,54,23,69,38,19,0,10,30,11,68,36,27,30,18,23,25,11,33,53,38,10,23,51,25,25,38,32,31,37,24,48,25,34,44,53,47,34,66
2726,7,27,4,38,39,38,53,46,9,18,29,45,24,24,37,22,28,19,55,56,58,100,51,23,43,33,71,16,59,51,48,18,9,35,23,31,70,46,42,25,41,44,54,30,64,38,43,41,34,20,43,10,53,31,30,44,53,39,39,37,41,30,24,44,38,55,85,33,36,38,35,80,62,14,42,49,11,37,48,17,12,49,13,1,40,40,28,18,14,28,15,24,25,27,51,8,9,34,33,21,15,50,44,7,15,42,15,29,25,24,28,50,17,40,19,45,36,19,0,17,26,12,60,32,23,25,15,24,21,12,37,50,35,11,20,37,24,21,35,29,28,30,22,40,24,31,36,47,46,30,64
2727,16,33,8,29,32,46,32,42,26,20,30,47,31,18,27,25,23,19,46,61,39,51,100,22,32,42,45,24,46,42,35,18,14,37,26,34,37,42,41,32,53,43,47,39,40,29,37,34,37,36,35,15,36,40,35,35,40,35,38,30,26,40,22,40,50,41,43,37,39,35,47,40,51,28,79,36,19,38,40,18,21,41,17,2,25,42,30,20,17,36,20,27,25,33,41,14,13,41,40,21,22,37,34,20,24,37,21,25,27,23,35,35,22,32,21,36,41,23,0,26,30,20,39,36,27,29,15,26,25,17,41,41,36,18,24,31,32,24,45,29,32,32,23,32,28,32,42,45,30,23,43
2756,11,7,5,23,11,19,27,18,27,60,11,16,7,58,21,7,41,54,21,18,30,23,22,100,18,8,19,16,21,15,30,19,9,13,52,7,21,18,16,8,16,11,15,9,20,19,30,27,14,23,16,23,46,14,11,16,23,15,15,42,23,15,20,17,17,19,26,15,25,27,18,24,20,23,23,33,15,13,36,8,18,19,15,0,22,16,8,9,13,13,13,8,7,8,17,14,7,8,6,15,11,16,13,13,25,17,24,17,10,7,11,20,20,30,8,37,15,24,0,26,7,13,23,11,7,7,11,16,10,13,13,14,12,10,13,33,21,9,20,15,20,19,6,31,20,12,37,37,18,15,28
2764,10,38,6,56,41,47,48,50,11,25,42,38,44,18,45,38,35,23,52,41,44,43,32,18,100,29,50,16,50,59,54,11,21,37,15,39,52,52,55,37,47,56,47,45,53,49,50,47,55,20,68,8,35,37,38,70,42,61,37,39,43,43,27,44,47,52,48,41,42,51,50,45,36,20,39,40,15,42,46,31,21,51,10,0,45,54,35,32,14,42,35,40,36,34,48,8,10,25,19,34,18,43,42,9,23,48,20,45,43,34,47,50,26,40,35,43,42,34,0,21,39,23,52,44,37,34,30,34,24,22,43,42,37,16,37,47,37,32,56,36,37,49,37,50,39,50,40,39,55,50,50
2796,9,68,10,33,42,34,25,47,9,10,49,35,63,7,45,47,15,11,32,41,31,33,42,8,29,100,35,13,36,42,27,7,21,59,10,74,27,33,45,67,49,46,43,49,30,43,27,26,41,14,38,4,22,60,61,39,51,38,48,32,39,51,10,58,36,34,28,54,44,31,44,26,35,14,34,27,20,56,31,27,16,32,7,1,36,38,45,26,13,48,18,50,49,59,32,4,16,38,36,33,25,30,30,6,13,55,15,30,45,47,50,47,16,43,33,27,57,17,0,15,58,21,30,53,55,59,21,26,29,18,40,31,59,30,33,39,22,32,40,42,38,38,49,24,23,40,30,31,29,34,31
2801,7,33,5,41,40,49,61,48,8,17,36,60,30,17,45,29,30,19,71,58,71,71,45,19,50,35,100,15,76,63,56,17,13,47,16,40,58,57,46,31,43,53,66,40,88,48,47,45,42,21,54,10,43,39,38,54,52,50,39,37,45,38,29,45,46,61,61,39,32,38,37,59,57,12,45,61,13,46,53,22,12,61,14,1,44,48,35,24,13,36,19,30,29,35,66,8,9,35,34,26,18,61,56,7,16,43,10,35,30,27,36,50,16,45,24,52,44,19,0,12,33,13,74,41,29,31,19,25,29,12,37,62,44,12,25,38,28,27,43,30,29,36,26,42,27,37,34,40,53,34,76
2907,28,9,20,14,11,15,12,15,20,18,13,15,8,13,12,7,16,16,15,20,15,16,24,16,16,13,15,100,16,17,15,29,17,15,16,11,16,16,15,10,16,18,22,11,14,9,18,16,17,42,14,23,12,18,15,14,16,14,13,12,12,16,32,16,18,14,15,18,14,12,16,14,16,34,20,11,25,16,15,11,29,14,34,6,12,23,8,11,46,15,26,7,8,10,14,28,19,8,10,18,16,9,10,24,44,16,30,10,13,8,13,12,22,13,14,14,20,25,0,28,9,32,12,15,8,9,20,25,17,32,9,14,15,20,20,13,26,14,20,11,12,11,8,13,21,13,11,14,15,11,17
3016,12,34,6,46,38,55,60,51,12,26,36,53,31,20,50,30,39,28,68,60,68,59,46,21,50,36,76,16,100,62,62,14,15,43,19,39,55,60,45,32,48,50,62,40,71,52,53,51,44,23,53,11,45,37,38,53,55,50,38,40,47,42,25,49,48,61,56,38,34,41,41,51,52,19,46,69,18,44,55,23,15,64,13,1,47,52,33,25,14,39,23,32,29,34,59,7,11,32,31,26,20,57,52,11,18,45,14,38,30,28,38,52,22,50,25,59,42,25,0,14,34,16,71,41,30,33,20,25,28,13,37,54,42,14,25,43,34,28,49,36,38,45,26,49,29,39,41,48,52,39,74
3033,12,41,7,51,45,56,53,60,12,18,39,42,44,15,49,37,29,18,64,51,52,51,42,15,59,42,63,17,62,100,54,9,24,40,17,48,49,59,56,43,50,59,54,56,59,57,48,46,51,21,75,6,34,40,39,77,46,60,42,38,43,50,23,54,51,58,46,43,37,50,44,44,47,20,41,49,15,45,57,29,21,61,9,2,44,58,38,32,11,38,32,40,35,39,58,8,12,30,32,32,19,53,50,8,19,55,20,39,38,36,52,52,23,46,35,50,45,27,0,20,47,21,55,47,37,37,26,31,26,20,49,45,40,16,35,46,32,35,53,37,36,44,37,46,30,44,39,44,51,41,58
3114,12,31,6,65,35,54,69,47,13,35,38,47,33,28,50,32,55,35,58,47,78,48,35,30,54,27,56,15,62,54,100,13,17,40,25,34,51,54,40,34,42,47,49,43,61,54,75,73,47,20,55,11,57,37,36,54,44,51,35,51,61,45,27,44,58,60,51,38,36,57,42,50,42,17,42,53,16,41,57,26,17,58,12,0,59,46,33,28,14,38,27,34,32,34,53,8,10,28,21,28,18,49,46,10,18,44,15,48,34,30,40,48,21,49,30,70,39,26,0,16,36,17,64,40,31,29,24,26,28,14,38,51,38,13,30,58,33,28,48,40,38,45,29,58,30,43,48,51,49,40,57
3117,25,6,17,9,7,11,10,11,24,12,12,21,6,11,9,5,14,13,13,17,14,18,18,19,11,7,17,29,14,9,13,100,19,15,19,6,15,12,9,7,11,13,15,10,19,7,12,11,12,26,9,35,16,12,14,9,11,11,10,9,9,10,29,10,12,13,20,12,14,9,13,19,17,31,20,11,26,15,10,8,28,11,54,0,10,11,7,10,36,11,17,5,5,8,12,29,11,8,4,17,18,13,9,23,38,10,26,9,7,5,9,12,28,9,10,10,13,20,0,29,6,22,16,13,5,5,17,16,15,16,10,19,15,16,12,10,21,9,15,7,8,8,5,10,15,11,12,11,12,8,14
3121,25,24,28,19,13,21,11,18,15,11,18,19,29,6,16,19,18,12,16,19,12,9,14,9,21,21,13,17,15,24,17,19,100,18,10,23,14,20,16,30,16,23,18,42,15,17,14,12,21,21,25,11,7,19,23,25,11,24,11,10,12,23,27,14,24,22,10,18,15,16,17,10,12,32,20,9,30,23,16,33,50,17,18,0,14,18,22,40,18,16,41,21,18,24,15,10,23,11,7,34,31,13,15,14,31,18,41,21,18,22,28,18,42,12,43,13,17,30,0,41,28,42,15,28,22,18,37,22,36,25,32,16,18,35,33,16,32,37,28,12,11,14,21,15,22,20,15,11,17,15,12
3158,10,70,9,35,42,44,36,47,9,12,68,65,62,10,50,56,21,13,44,42,39,35,37,13,37,59,47,15,43,40,40,15,18,100,12,61,41,37,44,68,54,54,50,51,51,46,32,32,56,16,46,9,28,78,79,44,51,45,51,40,55,54,26,57,45,40,38,78,47,38,55,36,40,14,45,34,17,81,32,33,15,45,13,0,50,44,58,33,17,63,25,61,58,72,45,8,15,35,26,35,22,44,43,8,19,54,12,40,55,54,53,57,17,46,37,31,79,24,0,13,66,17,48,62,60,53,27,33,37,18,48,55,85,22,36,47,29,32,50,41,39,47,51,31,29,54,38,29,45,43,38
3325,13,10,6,20,15,20,27,19,35,35,11,14,9,42,20,9,31,36,23,20,24,23,26,52,15,10,16,16,19,17,25,19,10,12,100,8,22,20,18,10,17,11,13,11,18,19,25,23,13,19,17,19,40,14,12,17,20,17,20,30,20,19,14,18,18,21,25,13,23,28,18,25,23,19,26,29,15,12,36,9,17,19,13,0,19,16,10,10,13,12,12,10,9,10,21,11,11,11,6,14,13,20,17,13,18,17,24,15,10,8,13,20,19,22,9,26,13,19,0,26,9,13,22,11,9,8,9,14,11,13,17,12,12,12,12,29,16,9,17,17,19,19,8,30,18,11,39,36,16,12,22
3339,7,66,7,36,35,40,28,39,7,9,66,40,70,6,46,62,19,10,33,41,35,31,34,7,39,74,40,11,39,48,34,6,23,61,8,100,30,31,53,65,58,62,47,54,34,55,30,29,56,12,48,3,20,57,60,48,47,47,43,33,44,54,15,47,41,36,26,57,44,39,51,26,35,11,33,30,16,60,32,41,14,34,6,1,39,39,50,36,10,54,27,67,67,57,35,3,12,29,28,36,22,32,33,5,11,48,13,40,60,57,55,56,15,47,43,33,62,23,0,13,66,19,34,61,64,72,30,27,31,16,47,36,64,27,41,47,25,41,44,42,39,47,64,31,26,50,32,29,33,46,33
3372,7,32,9,42,40,45,54,45,10,19,34,46,29,23,44,27,33,20,59,50,50,70,37,21,52,27,58,16,55,49,51,15,14,41,22,30,100,55,42,32,40,44,59,36,63,37,45,44,43,17,50,8,49,37,36,50,47,44,38,40,45,37,25,43,41,54,77,41,36,44,40,75,53,17,47,44,14,43,49,25,16,55,12,0,49,47,33,23,18,32,22,28,30,33,53,7,14,30,22,28,17,54,49,7,23,43,17,33,32,31,34,58,20,40,27,43,43,27,0,19,32,12,60,41,28,24,22,31,29,17,46,50,42,13,27,43,32,23,45,28,29,35,29,48,31,36,41,42,58,38,55
